nLocations = 128;
ls = 1;
fromPoints = 1;
points = [
[ 125 125 ]
[ 32 160 ]
[ 148 15 ]
[ 132 214 ]
[ 9 7 ]
[ 83 133 ]
[ 135 45 ]
[ 101 250 ]
[ 115 244 ]
[ 249 91 ]
[ 124 179 ]
[ 31 59 ]
[ 243 148 ]
[ 15 88 ]
[ 246 122 ]
[ 78 140 ]
[ 210 65 ]
[ 6 36 ]
[ 239 149 ]
[ 61 188 ]
[ 157 235 ]
[ 147 226 ]
[ 138 214 ]
[ 86 196 ]
[ 180 239 ]
[ 136 250 ]
[ 107 16 ]
[ 162 133 ]
[ 248 127 ]
[ 8 193 ]
[ 241 133 ]
[ 156 4 ]
[ 59 239 ]
[ 235 194 ]
[ 57 250 ]
[ 3 43 ]
[ 119 197 ]
[ 200 83 ]
[ 61 80 ]
[ 243 116 ]
[ 115 34 ]
[ 164 56 ]
[ 235 208 ]
[ 152 127 ]
[ 248 160 ]
[ 152 70 ]
[ 216 200 ]
[ 149 123 ]
[ 197 122 ]
[ 119 121 ]
[ 136 148 ]
[ 47 78 ]
[ 29 47 ]
[ 241 72 ]
[ 156 122 ]
[ 8 71 ]
[ 245 133 ]
[ 159 47 ]
[ 178 47 ]
[ 246 221 ]
[ 130 94 ]
[ 173 161 ]
[ 90 70 ]
[ 164 245 ]
[ 124 106 ]
[ 216 173 ]
[ 203 202 ]
[ 66 20 ]
[ 236 87 ]
[ 238 66 ]
[ 181 107 ]
[ 186 142 ]
[ 67 131 ]
[ 210 216 ]
[ 31 22 ]
[ 37 249 ]
[ 113 12 ]
[ 185 213 ]
[ 171 20 ]
[ 63 236 ]
[ 162 157 ]
[ 96 126 ]
[ 146 142 ]
[ 159 232 ]
[ 150 100 ]
[ 125 112 ]
[ 197 49 ]
[ 125 214 ]
[ 157 186 ]
[ 52 99 ]
[ 213 146 ]
[ 67 170 ]
[ 171 1 ]
[ 180 2 ]
[ 11 100 ]
[ 88 10 ]
[ 45 205 ]
[ 225 54 ]
[ 227 142 ]
[ 231 76 ]
[ 191 138 ]
[ 223 197 ]
[ 176 35 ]
[ 144 180 ]
[ 250 39 ]
[ 125 91 ]
[ 95 214 ]
[ 14 63 ]
[ 209 109 ]
[ 174 60 ]
[ 210 63 ]
[ 162 191 ]
[ 109 82 ]
[ 64 105 ]
[ 102 106 ]
[ 25 54 ]
[ 18 107 ]
[ 45 219 ]
[ 76 109 ]
[ 23 131 ]
[ 156 239 ]
[ 219 142 ]
[ 41 196 ]
[ 131 208 ]
[ 178 133 ]
[ 79 116 ]
[ 171 102 ]
[ 110 150 ]
];
dist = [
