nLocations = 256
startLocation = 0
fromPoints = 1
points = [
[ 125 125 ]
[ 98 11 ]
[ 91 99 ]
[ 108 147 ]
[ 19 149 ]
[ 221 23 ]
[ 103 64 ]
[ 89 65 ]
[ 30 99 ]
[ 232 92 ]
[ 221 21 ]
[ 185 106 ]
[ 142 63 ]
[ 225 149 ]
[ 165 151 ]
[ 102 65 ]
[ 60 129 ]
[ 204 228 ]
[ 209 170 ]
[ 94 87 ]
[ 35 230 ]
[ 119 206 ]
[ 72 32 ]
[ 199 54 ]
[ 55 218 ]
[ 232 26 ]
[ 188 145 ]
[ 135 105 ]
[ 68 213 ]
[ 186 137 ]
[ 200 171 ]
[ 6 184 ]
[ 158 174 ]
[ 187 178 ]
[ 92 209 ]
[ 93 137 ]
[ 243 224 ]
[ 91 112 ]
[ 216 193 ]
[ 59 155 ]
[ 167 231 ]
[ 214 38 ]
[ 200 52 ]
[ 89 28 ]
[ 245 227 ]
[ 178 203 ]
[ 208 70 ]
[ 66 51 ]
[ 245 148 ]
[ 10 247 ]
[ 176 215 ]
[ 242 108 ]
[ 215 111 ]
[ 162 166 ]
[ 174 152 ]
[ 225 225 ]
[ 126 76 ]
[ 16 165 ]
[ 191 169 ]
[ 192 185 ]
[ 111 179 ]
[ 52 225 ]
[ 61 46 ]
[ 84 172 ]
[ 143 16 ]
[ 61 205 ]
[ 129 168 ]
[ 159 110 ]
[ 80 150 ]
[ 236 243 ]
[ 165 16 ]
[ 188 147 ]
[ 194 103 ]
[ 39 118 ]
[ 242 75 ]
[ 225 244 ]
[ 107 56 ]
[ 98 6 ]
[ 243 153 ]
[ 185 217 ]
[ 250 137 ]
[ 84 207 ]
[ 133 43 ]
[ 233 178 ]
[ 164 12 ]
[ 87 123 ]
[ 182 193 ]
[ 178 116 ]
[ 229 77 ]
[ 209 51 ]
[ 158 118 ]
[ 87 34 ]
[ 197 240 ]
[ 223 158 ]
[ 3 146 ]
[ 84 185 ]
[ 28 76 ]
[ 250 12 ]
[ 98 189 ]
[ 208 118 ]
[ 177 40 ]
[ 87 2 ]
[ 91 72 ]
[ 146 162 ]
[ 207 178 ]
[ 9 101 ]
[ 168 10 ]
[ 130 63 ]
[ 165 236 ]
[ 53 184 ]
[ 25 147 ]
[ 77 189 ]
[ 155 63 ]
[ 212 25 ]
[ 87 184 ]
[ 179 197 ]
[ 46 140 ]
[ 201 128 ]
[ 31 188 ]
[ 2 90 ]
[ 27 5 ]
[ 142 174 ]
[ 44 35 ]
[ 61 156 ]
[ 115 164 ]
[ 209 17 ]
[ 241 93 ]
[ 216 239 ]
[ 178 232 ]
[ 98 230 ]
[ 95 240 ]
[ 67 243 ]
[ 148 1 ]
[ 116 245 ]
[ 128 246 ]
[ 100 51 ]
[ 70 37 ]
[ 47 39 ]
[ 185 157 ]
[ 28 14 ]
[ 48 120 ]
[ 56 125 ]
[ 49 148 ]
[ 54 203 ]
[ 147 180 ]
[ 53 104 ]
[ 53 31 ]
[ 38 1 ]
[ 126 25 ]
[ 32 227 ]
[ 95 152 ]
[ 106 80 ]
[ 179 6 ]
[ 27 60 ]
[ 30 212 ]
[ 55 39 ]
[ 81 97 ]
[ 175 214 ]
[ 17 185 ]
[ 124 16 ]
[ 51 170 ]
[ 198 231 ]
[ 73 139 ]
[ 204 194 ]
[ 191 52 ]
[ 219 238 ]
[ 160 35 ]
[ 35 236 ]
[ 50 200 ]
[ 55 147 ]
[ 53 20 ]
[ 25 33 ]
[ 124 56 ]
[ 77 18 ]
[ 122 196 ]
[ 191 236 ]
[ 30 97 ]
[ 96 38 ]
[ 25 154 ]
[ 149 31 ]
[ 178 227 ]
[ 74 90 ]
[ 20 203 ]
[ 142 14 ]
[ 66 239 ]
[ 26 19 ]
[ 215 237 ]
[ 6 37 ]
[ 46 233 ]
[ 69 169 ]
[ 152 16 ]
[ 0 3 ]
[ 159 3 ]
[ 120 15 ]
[ 27 142 ]
[ 175 136 ]
[ 32 56 ]
[ 117 153 ]
[ 227 60 ]
[ 161 209 ]
[ 124 5 ]
[ 241 8 ]
[ 171 237 ]
[ 193 204 ]
[ 109 147 ]
[ 111 27 ]
[ 124 132 ]
[ 147 1 ]
[ 78 89 ]
[ 144 245 ]
[ 176 107 ]
[ 45 14 ]
[ 69 240 ]
[ 183 104 ]
[ 207 111 ]
[ 227 105 ]
[ 71 159 ]
[ 248 177 ]
[ 227 8 ]
[ 32 126 ]
[ 154 53 ]
[ 247 118 ]
[ 99 37 ]
[ 136 183 ]
[ 15 66 ]
[ 31 143 ]
[ 107 67 ]
[ 56 0 ]
[ 119 151 ]
[ 49 78 ]
[ 205 37 ]
[ 56 115 ]
[ 29 111 ]
[ 246 191 ]
[ 147 132 ]
[ 106 13 ]
[ 133 143 ]
[ 33 236 ]
[ 247 230 ]
[ 30 215 ]
[ 110 106 ]
[ 184 49 ]
[ 246 32 ]
[ 172 164 ]
[ 128 73 ]
[ 207 72 ]
[ 111 248 ]
[ 21 217 ]
[ 228 163 ]
[ 237 158 ]
[ 134 3 ]
[ 226 247 ]
[ 150 220 ]
[ 7 123 ]
[ 149 225 ]
[ 124 161 ]
]
distance = [
